"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 12, 2019","46.20","45.73","46.56","45.25","-","1.00%"
"Oct 13, 2019","45.73","46.17","46.34","45.47","-","-1.03%"
"Oct 14, 2019","44.76","45.71","45.76","44.52","-","-2.10%"
"Oct 15, 2019","45.20","44.78","45.72","44.48","-","0.97%"
"Oct 16, 2019","45.78","45.20","46.09","45.09","-","1.28%"
"Oct 17, 2019","45.56","45.81","45.97","45.33","-","-0.49%"
"Oct 18, 2019","45.98","45.51","46.45","45.27","-","0.92%"
"Oct 19, 2019","46.29","46.01","46.72","45.61","-","0.67%"
"Oct 20, 2019","46.93","46.27","47.14","46.14","-","1.39%"
"Oct 21, 2019","47.13","46.96","47.59","46.51","-","0.43%"
"Oct 22, 2019","46.84","47.11","47.75","46.74","-","-0.62%"
"Oct 23, 2019","46.06","46.80","48.10","46.06","-","-1.65%"
"Oct 24, 2019","46.18","45.89","46.54","45.75","-","0.26%"
"Oct 25, 2019","47.70","46.27","48.28","45.62","-","3.29%"
"Oct 26, 2019","51.43","48.04","53.34","47.54","-","7.81%"
"Oct 27, 2019","51.83","51.56","52.39","51.04","-","0.78%"
"Oct 28, 2019","50.65","51.97","52.73","50.56","-","-2.28%"
"Oct 29, 2019","49.41","50.80","51.13","48.91","-","-2.45%"
"Oct 30, 2019","50.01","49.43","50.35","48.71","-","1.21%"
"Oct 31, 2019","50.20","49.95","51.16","49.59","-","0.39%"
"Nov 01, 2019","50.24","50.26","51.26","49.79","-","0.09%"
"Nov 02, 2019","50.82","50.30","51.05","50.19","-","1.15%"
"Nov 03, 2019","50.69","50.84","51.02","50.21","-","-0.25%"
"Nov 04, 2019","50.56","50.65","50.86","49.65","-","-0.26%"
"Nov 05, 2019","49.30","50.62","50.75","48.69","-","-2.49%"
"Nov 06, 2019","48.88","49.32","49.51","48.36","-","-0.86%"
"Nov 07, 2019","49.37","48.87","49.65","48.75","-","1.01%"
"Nov 08, 2019","47.76","49.37","49.67","47.70","-","-3.26%"
"Nov 09, 2019","47.57","47.75","48.08","47.47","-","-0.40%"
"Nov 10, 2019","47.84","47.53","48.08","46.68","-","0.58%"
"Nov 11, 2019","47.24","47.84","47.88","46.59","-","-1.26%"
"Nov 12, 2019","47.17","47.25","47.48","46.70","-","-0.15%"
"Nov 13, 2019","46.63","47.20","47.27","46.34","-","-1.14%"
"Nov 14, 2019","46.77","46.64","47.14","46.50","-","0.28%"
"Nov 15, 2019","47.07","46.75","47.59","46.56","-","0.66%"
"Nov 16, 2019","46.53","47.09","47.13","46.22","-","-1.15%"
"Nov 17, 2019","46.27","46.52","46.83","46.10","-","-0.56%"
"Nov 18, 2019","45.92","46.23","46.55","45.92","-","-0.76%"
"Nov 19, 2019","46.19","45.96","46.69","45.89","-","0.60%"
"Nov 20, 2019","46.34","46.20","46.64","45.82","-","0.31%"
"Nov 21, 2019","47.38","46.33","47.95","46.06","-","2.24%"
"Nov 22, 2019","48.56","47.38","49.31","47.14","-","2.50%"
"Nov 23, 2019","48.14","48.62","49.03","47.53","-","-0.86%"
"Nov 24, 2019","49.05","48.14","49.54","47.63","-","1.88%"
"Nov 25, 2019","48.83","49.13","49.94","47.48","-","-0.44%"
"Nov 26, 2019","48.51","48.85","49.29","47.98","-","-0.66%"
"Nov 27, 2019","49.18","48.47","49.39","48.07","-","1.38%"
"Nov 28, 2019","49.24","49.12","49.91","48.77","-","0.12%"
"Nov 29, 2019","50.14","49.30","50.57","48.70","-","1.83%"
"Nov 30, 2019","49.79","50.09","50.60","49.57","-","-0.70%"
"Dec 01, 2019","49.04","49.82","50.11","48.59","-","-1.51%"
"Dec 02, 2019","49.06","48.99","49.46","48.73","-","0.05%"
"Dec 03, 2019","49.60","49.08","49.71","48.98","-","1.10%"
"Dec 04, 2019","49.46","49.57","51.23","48.86","-","-0.29%"
"Dec 05, 2019","49.90","49.41","50.44","49.38","-","0.90%"
"Dec 06, 2019","50.73","49.80","50.89","49.74","-","1.66%"
