"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 13, 2015","0.38","0.41","0.42","0.38","0.01K","-8.22%"
"Oct 14, 2015","0.37","0.38","0.46","0.37","0.06K","-2.11%"
"Oct 15, 2015","0.38","0.37","0.40","0.37","0.02K","1.43%"
"Oct 16, 2015","0.41","0.38","0.41","0.38","0.03K","9.93%"
"Oct 17, 2015","0.47","0.41","0.47","0.39","-","13.02%"
"Oct 18, 2015","0.41","0.47","0.47","0.40","0.03K","-12.19%"
"Oct 19, 2015","0.39","0.41","0.46","0.39","0.01K","-4.46%"
"Oct 20, 2015","0.37","0.39","0.46","0.37","0.03K","-5.41%"
"Oct 21, 2015","0.38","0.37","0.38","0.37","0.00K","0.00%"
"Oct 22, 2015","0.37","0.38","0.44","0.37","0.00K","0.00%"
"Oct 23, 2015","0.37","0.37","0.44","0.37","0.01K","0.00%"
"Oct 24, 2015","0.39","0.37","0.44","0.37","0.15K","6.07%"
"Oct 25, 2015","0.38","0.39","0.41","0.38","0.01K","-3.44%"
"Oct 26, 2015","0.38","0.38","0.45","0.38","0.01K","0.00%"
"Oct 27, 2015","0.38","0.38","0.38","0.38","-","0.00%"
"Oct 28, 2015","0.38","0.38","0.42","0.38","0.06K","0.00%"
"Oct 29, 2015","0.50","0.38","0.50","0.38","0.04K","32.45%"
"Oct 30, 2015","0.44","0.50","0.50","0.44","0.02K","-11.74%"
"Oct 31, 2015","0.38","0.44","0.44","0.38","0.00K","-13.89%"
"Nov 01, 2015","0.36","0.38","0.45","0.36","0.00K","-5.26%"
"Nov 02, 2015","0.45","0.36","0.45","0.30","0.02K","25.00%"
"Nov 03, 2015","0.39","0.45","0.77","0.33","4.93K","-12.49%"
"Nov 04, 2015","0.44","0.39","0.55","0.39","0.88K","10.67%"
"Nov 05, 2015","0.43","0.44","0.50","0.42","0.11K","-2.02%"
"Nov 06, 2015","0.46","0.43","0.46","0.40","0.04K","8.62%"
"Nov 07, 2015","0.46","0.46","0.46","0.42","0.00K","0.00%"
"Nov 08, 2015","0.55","0.46","0.55","0.46","0.03K","19.44%"
"Nov 09, 2015","0.47","0.55","0.55","0.46","0.01K","-15.18%"
"Nov 10, 2015","0.45","0.47","0.47","0.45","0.03K","-3.79%"
"Nov 11, 2015","0.42","0.45","0.47","0.42","1.04K","-6.55%"
"Nov 12, 2015","0.44","0.42","0.46","0.42","0.05K","4.59%"
"Nov 13, 2015","0.47","0.44","0.47","0.41","0.05K","5.25%"
"Nov 14, 2015","0.43","0.47","0.47","0.43","0.03K","-7.78%"
"Nov 15, 2015","0.41","0.43","0.45","0.41","0.02K","-4.66%"
"Nov 16, 2015","0.44","0.41","0.45","0.41","0.02K","8.07%"
"Nov 17, 2015","0.41","0.44","0.44","0.41","-","-7.44%"
"Nov 18, 2015","0.41","0.41","0.41","0.41","-","0.00%"
"Nov 19, 2015","0.40","0.41","0.41","0.40","0.20K","-1.56%"
"Nov 20, 2015","0.45","0.40","0.45","0.39","0.00K","11.25%"
"Nov 21, 2015","0.45","0.45","0.45","0.37","0.03K","0.00%"
"Nov 22, 2015","0.36","0.45","0.45","0.36","0.00K","-20.04%"
"Nov 23, 2015","0.45","0.36","0.45","0.36","0.02K","25.07%"
"Nov 24, 2015","0.42","0.45","0.45","0.42","-","-6.25%"
"Nov 25, 2015","0.38","0.42","0.42","0.36","0.03K","-9.76%"
"Nov 26, 2015","0.41","0.38","0.41","0.38","0.49K","8.18%"
"Nov 27, 2015","0.38","0.41","0.42","0.38","0.05K","-7.54%"
"Nov 28, 2015","0.40","0.38","0.40","0.37","0.02K","4.19%"
"Nov 29, 2015","0.39","0.40","0.41","0.39","0.01K","0.00%"
"Nov 30, 2015","0.37","0.39","0.42","0.37","0.02K","-6.69%"
"Dec 01, 2015","0.37","0.37","0.41","0.37","0.02K","0.00%"
"Dec 02, 2015","0.37","0.37","0.38","0.37","0.01K","0.00%"
"Dec 03, 2015","0.37","0.37","0.37","0.37","-","0.00%"
"Dec 04, 2015","0.37","0.37","0.37","0.36","0.06K","0.00%"
"Dec 05, 2015","0.43","0.37","0.43","0.36","2.23K","16.06%"
"Dec 06, 2015","0.43","0.43","0.46","0.40","0.98K","0.00%"
"Dec 07, 2015","0.41","0.43","0.53","0.41","0.01K","-3.53%"
"Dec 08, 2015","0.43","0.41","0.43","0.40","0.06K","2.65%"
"Dec 09, 2015","0.43","0.43","0.45","0.43","0.08K","0.00%"
"Dec 10, 2015","0.40","0.43","0.45","0.40","0.07K","-7.21%"
"Dec 11, 2015","0.45","0.40","0.46","0.40","0.04K","12.78%"
"Dec 12, 2015","0.42","0.45","0.47","0.42","0.17K","-6.22%"
"Dec 13, 2015","0.42","0.42","0.46","0.42","0.18K","0.00%"
"Dec 14, 2015","0.44","0.42","0.55","0.42","1.04K","4.27%"
"Dec 15, 2015","0.50","0.44","0.52","0.44","0.03K","14.77%"
"Dec 16, 2015","0.50","0.50","0.55","0.50","0.01K","0.00%"
"Dec 17, 2015","0.44","0.50","0.50","0.44","0.03K","-12.87%"
"Dec 18, 2015","0.49","0.44","0.53","0.44","0.02K","11.36%"
