"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 11, 2018","0.028293","0.028805","0.029070","0.027562","9.70K","-1.77%"
"Feb 12, 2018","0.027788","0.028345","0.028838","0.027568","6.84K","-1.78%"
"Feb 13, 2018","0.027300","0.028000","0.028000","0.026945","9.93K","-1.76%"
"Feb 14, 2018","0.029025","0.027300","0.029339","0.027096","25.43K","6.32%"
"Feb 15, 2018","0.029460","0.029099","0.029780","0.027553","22.78K","1.50%"
"Feb 16, 2018","0.028984","0.029456","0.029470","0.028019","17.71K","-1.62%"
"Feb 17, 2018","0.029002","0.028843","0.030675","0.028693","26.49K","0.06%"
"Feb 18, 2018","0.028284","0.029002","0.029171","0.028001","13.37K","-2.48%"
"Feb 19, 2018","0.028144","0.028284","0.029049","0.028017","11.89K","-0.49%"
"Feb 20, 2018","0.026569","0.028144","0.028157","0.026328","11.57K","-5.60%"
"Feb 21, 2018","0.029302","0.026569","0.029715","0.026016","35.16K","10.29%"
"Feb 22, 2018","0.027863","0.029258","0.029406","0.027604","17.72K","-4.91%"
"Feb 23, 2018","0.027412","0.027863","0.028463","0.027200","19.31K","-1.62%"
"Feb 24, 2018","0.027738","0.027412","0.028146","0.026870","18.97K","1.19%"
"Feb 25, 2018","0.029047","0.027610","0.029047","0.027489","10.95K","4.72%"
"Feb 26, 2018","0.028125","0.029060","0.029100","0.027800","16.36K","-3.17%"
"Feb 27, 2018","0.028255","0.028125","0.029068","0.027650","18.76K","0.46%"
"Feb 28, 2018","0.027489","0.028255","0.028299","0.027290","14.27K","-2.71%"
"Mar 01, 2018","0.028693","0.027490","0.028781","0.027369","19.05K","4.38%"
"Mar 02, 2018","0.031170","0.028693","0.031897","0.028252","74.19K","8.63%"
"Mar 03, 2018","0.030498","0.031199","0.032993","0.030164","78.06K","-2.16%"
"Mar 04, 2018","0.031970","0.030497","0.032340","0.030300","45.00K","4.83%"
"Mar 05, 2018","0.032216","0.031970","0.032880","0.030843","46.84K","0.77%"
"Mar 06, 2018","0.032050","0.032250","0.032581","0.031397","34.20K","-0.52%"
"Mar 07, 2018","0.033980","0.032050","0.034339","0.031911","61.79K","6.02%"
"Mar 08, 2018","0.029484","0.033987","0.033987","0.029346","46.21K","-13.23%"
"Mar 09, 2018","0.030798","0.029449","0.030798","0.028404","41.63K","4.46%"
"Mar 10, 2018","0.028902","0.030834","0.031240","0.028750","25.36K","-6.16%"
"Mar 11, 2018","0.029390","0.028902","0.029700","0.028775","21.67K","1.69%"
